a little	//
abandon	/ə'bændən/
abandoned	/ə'bændənd/
ability	/ə'biliti/
able	/'eibl/
about	/ə'baut/
above	/ə'bʌv/
abroad	/ə'brɔ:d/
absence	/'æbsəns/
absent	/'æbsənt/
absolute	/'æbsəlu:t/
absolutely	/'æbsəlu:tli/
absorb	/əb'sɔ:b/
abuse	/ə'bju:s/
academic	/,ækə'demik/
accent	/'æksənt/
accept	/ək'sept/
acceptable	/ək'septəbl/
access	/'ækses/
accident	/'æksidənt/
accidental	/,æksi'dentl/
accidentally	/,æksi'dentəli/
accommodation	/ə,kɔmə'deiʃn/
accompany	/ə'kʌmpəni/
according to	/ə'kɔ:diɳ/
account	/ə'kaunt/
accurate	/'ækjurit/
accurately	/'ækjuritli/
accuse	/ə'kju:z/
achieve	/ə'tʃi:v/
achievement	/ə'tʃi:vmənt/
acid	/'æsid/
acknowledge	/ək'nɔlidʤ/
acquire	/ə'kwaiə/
across	/ə'krɔs/
act	/ækt/
action	/'ækʃn/
active	/'æktiv/
actively	/'æktivli/
activity	/æk'tiviti/
actor	/'æktə/
actress	/'æktris/
actual	/'æktjuəl/
actually	/'æktjuəli/
adapt	/ə'dæpt/
add	/æd/
addition	/ə'diʃn/
additional	/ə'diʃənl/
address	/ə'dres/
adequate	/'ædikwit/
adequately	/'ædikwitli/
adjust	/ə'dʤʌst/
admiration	/,ædmə'reiʃn/
admire	/əd'maiə/
admit	/əd'mit/
adopt	/ə'dɔpt/
adult	/'ædʌlt/
advance	/əd'vɑ:ns/
advanced	/əd'vɑ:nst/
advantage	/əb'vɑ:ntidʤ/
adventure	/əd'ventʃə/
advertise	/'ædvətaiz/
advertisement	/əd'və:tismənt/
advertising	//
advice	/əd'vais/
advise	/əd'vaiz/
affair	/ə'feə/
affect	/ə'fekt/
affection	/ə'fekʃn/
afford	/ə'fɔ:d/
afraid	/ə'freid/
after	/'ɑ:ftə/
afternoon	/'ɑ:ftə'nu:n/
afterwards	/'ɑ:ftəwəd/
again	/ə'gen/
against	/ə'geinst/
age	/eidʤ/
aged	/'eidʤid/
agency	/'eidʤənsi/
agent	/'eidʤənt/
aggressive	/ə'gresiv/
ago	/ə'gou/
agree	/ə'gri:/
agreement	/ə'gri:mənt/
ahead	/ə'hed/
aid	/eid/
aim	/eim/
air	/eə/
aircraft	/'eəkrɑ:ft/
airport	//
alarm	/ə'lɑ:m/
alarmed	/ə'lɑ:m/
